"","RERFGC1B_STOMACH","HS746T_STOMACH","LMSU_STOMACH","ECC10_STOMACH","TGBC11TKB_STOMACH","SNU520_STOMACH","GSS_STOMACH","SNU620_STOMACH","ECC12_STOMACH","GSU_STOMACH","FU97_STOMACH","GCIY_STOMACH","SH10TC_STOMACH","MKN1_STOMACH","MKN74_STOMACH","KE39_STOMACH","HGC27_STOMACH","HUG1N_STOMACH","NUGC4_STOMACH","SNU16_STOMACH","NCIN87_STOMACH","OCUM1_STOMACH","SNU5_STOMACH","SNU601_STOMACH","SNU668_STOMACH","NCCSTCK140_STOMACH","SNU719_STOMACH","SNU216_STOMACH","NUGC2_STOMACH","SNU1_STOMACH","AGS_STOMACH","KATOIII_STOMACH","NUGC3_STOMACH","IM95_STOMACH","MKN7_STOMACH","MKN45_STOMACH"
"A1BG",304,12,330,1231,7,6,701,46,4437,5,2071,412,162,548,219,8,186,123,23,22,43,6,10,16,30,228,54,40,15,13,7,2,516,2,198,9
"A1BG-AS1",393,100,203,609,3,16,171,22,1008,6,467,223,92,295,239,2,158,35,14,18,10,5,6,3,26,225,46,11,11,2,10,1,37,1,89,12
"A1CF",88,25,11,27,5,16,18,1474,36799,6523,24980,516,6,4,9,1590,9,10,100,4055,86,2384,4256,32,3,7,1348,4,0,54,13,0,5,5104,3,55
"A2M",79,1,37,100,57,71,43758,65,36,19,6921,310,79,37,6,124,33,12,41,18,107,42,60,159,115,18,53,41,7,49,8,2,15,17,6,9
"A2M-AS1",129,41,18,44,2,2,172,23,3,0,148,21,5,22,45,38,0,9,58,0,2,0,0,2,52,119,28,10,105,0,30,0,37,36,20,16
"A2ML1",2823,1,1,9,29,5,2,6,12,0,0,3,1,7,126,4,2,0,16958,2,62929,2,4,7,9,22122,2,129,624,4,10,3,23,3,634,12
"A3GALT2",1,5,0,6,2,9,1,1,15,0,0,11,0,3,5,5,1,3,0,3,6,3,1,2,2,4,6,0,2,4,2,1,6,4,3,2
"A4GALT",2365,543,664,824,982,3,2882,1616,56,10,9,654,1974,4787,5473,2,126,462,271,6,28879,56,195,346,3421,5721,4,1183,2632,8,2,7,952,9,2020,382
"A4GNT",6,17,0,8,0,237,8,3,4,1,0,44,0,8,3,0,7,46,789,0,3,2,0,0,0,4,10,0,2,15,0,0,0,4,0,3
"AAAS",9447,5416,8213,6699,4803,6178,12094,8254,17874,4971,11868,3507,6022,10137,7426,7800,15288,7039,3709,11460,10884,6159,11396,6755,6803,7851,3770,4911,9824,9503,6045,7289,5763,6859,3255,9860
"AACS",5269,7324,6273,5672,5249,2726,6454,11417,15950,4714,15205,6629,6654,8246,3806,10903,8298,9143,12529,17558,18712,7098,3562,12685,7773,7951,12128,6415,10277,11616,12303,6306,2218,7142,6188,10071
"AACSP1",3030,24,4,178,3055,6,3,32,4,1,875,629,103,198,543,46,18,5,1,68,186,27,17,198,5,689,170,650,30,475,132,910,25,2627,372,182
"AADAC",51,2,4,2,5,9836,2,4918,2,1354,2,4,527,543,0,24,4,5008,1310,837,13,70,748,2849,144,274,740,2,1,1,31,796,337,457,0,2047
"AADACL2",100,4,32,1,1,0,0,1,2,14,0,0,0,5,0,0,0,5,0,0,0,0,2,0,1,16888,0,0,7,2,0,1,0,0,0,4
"AADACL3",32,1,0,0,1,1,0,5,2,2,20,1,1,3,0,0,0,0,0,0,6,4,0,0,0,4,2,0,1,0,1,0,474,0,550,2
"AADAT",2216,1341,2870,2,10,1186,3510,3062,2388,50,708,338,2,591,1112,1333,3941,265,226,3917,4691,554,898,340,622,1532,922,364,471,1186,2429,3,10,0,483,1775
"AAGAB",10207,8544,6340,8504,5238,13579,10632,10004,11914,9523,10607,4035,12782,6421,23484,10916,8395,9592,6403,8563,26190,27925,12721,11793,7175,24523,5328,10617,10866,11387,16068,12240,8584,9776,6595,15992
