"CCLE_ID","depMapID","Name","Pathology","Site_Primary","Histology","Gender","Age","Site_Of_Finding","tcga_code"
"DMS53_LUNG","ACH-000698","DMS 53","primary","lung","carcinoma","male","54","","SCLC"
"SW1116_LARGE_INTESTINE","ACH-000489","SW1116","primary","large_intestine","carcinoma","male","73","","COAD/READ"
"NCIH1694_LUNG","ACH-000431","NCI-H1694","metastasis","lung","carcinoma","male","61","ascites","SCLC"
"P3HR1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000707","P3HR-1","metastasis","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","7","ascites","DLBC"
"HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000509","HuT 78","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","53","","missing info"
"UMUC3_URINARY_TRACT","ACH-000522","UM-UC-3","primary","urinary_tract","carcinoma","male","missing info","","BLCA"
"HOS_BONE","ACH-000613","HOS","primary","bone","osteosarcoma","female","13","","SARC"
"HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000829","HuNS1","primary","haematopoietic_and_lymphoid_tissue","lymphoid_neoplasm","male","missing info","","MM"
"AML193_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE","ACH-000557","AML-193","primary","haematopoietic_and_lymphoid_tissue","haematopoietic_neoplasm","female","13","","LAML"
"RVH421_SKIN","ACH-000614","RVH-421","metastasis","skin","malignant_melanoma","male","28","brain","SKCM"
"NCIH1184_LUNG","ACH-000523","NCI-H1184","metastasis","lung","carcinoma","male","42","lymph_node","SCLC"
"HCC2157_BREAST","ACH-000691","HCC2157","primary","breast","carcinoma","female","48","","BRCA"
"TC71_BONE","ACH-000424","TC-71","primary","bone","Ewings_sarcoma-peripheral_primitive_neuroectodermal_tumour","male","22","","SARC"
"NCIH2227_LUNG","ACH-000610","NCI-H2227","primary","lung","carcinoma","male","54","","SCLC"
"SNU449_LIVER","ACH-000420","SNU-449","primary","liver","carcinoma","male","52","","LIHC"
